time_unix,x,y,heading,velocity_cmd
1749038219.360256,3.746,2.243,3.063,0.000
1749038219.459607,3.726,2.244,3.106,0.000
1749038219.658682,3.684,2.244,-3.069,0.000
1749038219.758044,3.664,2.242,-3.038,0.000
1749038219.957174,3.625,2.238,-3.037,0.000
1749038220.057056,3.604,2.236,-3.054,0.000
1749038220.255978,3.563,2.233,-3.091,0.000
1749038220.356034,3.542,2.232,-3.107,0.000
1749038220.554995,3.501,2.231,-3.131,0.000
1749038220.654898,3.481,2.231,-3.133,0.000
1749038220.853863,3.442,2.230,-3.110,0.000
1749038220.953539,3.421,2.229,-3.096,0.000
1749038221.152576,3.378,2.227,-3.070,0.000
1749038221.252491,3.358,2.225,-3.061,0.000
1749038221.451552,3.318,2.222,-3.052,0.000
1749038221.551005,3.298,2.220,-3.055,0.000
1749038221.750440,3.257,2.217,-3.079,0.000
1749038221.850259,3.236,2.216,-3.092,0.000
1749038222.049475,3.194,2.214,-3.113,0.000
1749038222.149096,3.174,2.214,-3.121,0.000
1749038222.348132,3.136,2.213,-3.121,0.000
1749038222.448347,3.116,2.212,-3.112,0.000
1749038222.647022,3.074,2.211,-3.089,0.000
1749038222.746533,3.053,2.209,-3.079,0.000
1749038222.946067,3.011,2.206,-3.063,0.000
1749038223.045685,2.991,2.205,-3.057,0.000
1749038223.245055,2.951,2.201,-3.061,0.000
1749038223.344468,2.931,2.200,-3.071,0.000
1749038223.543970,2.889,2.197,-3.090,0.000
1749038223.643779,2.868,2.196,-3.100,0.000
1749038223.842375,2.827,2.195,-3.117,0.000
1749038223.941822,2.808,2.195,-3.120,0.000
1749038224.140970,2.769,2.194,-3.108,0.000
1749038224.240637,2.749,2.193,-3.096,0.000
1749038224.439469,2.707,2.190,-3.078,0.000
1749038224.539165,2.686,2.189,-3.072,0.000
1749038224.738722,2.642,2.186,-3.062,0.000
1749038224.838259,2.616,2.184,-3.054,0.000
1749038225.037530,2.554,2.178,-3.045,0.000
1749038225.136874,2.518,2.174,-3.049,0.000
1749038225.335707,2.439,2.167,-3.062,0.000
1749038225.436022,2.396,2.164,-3.073,0.000
1749038225.634665,2.313,2.160,-3.098,0.000
1749038225.734722,2.271,2.158,-3.107,0.000
1749038225.933073,2.193,2.156,-3.109,0.000
1749038226.032427,2.152,2.154,-3.103,0.000
1749038226.232728,2.070,2.150,-3.075,0.000
